Ägypten;;;
9;Darf ich Hartschalenkoffer mitnehmen? Müssen es Reisetaschen sein?;vorzugsweise nicht, da wir nicht wissen welche Fahrzeuge eingesetzt werden, nicht immer ist ein Anhänger garantiert;
10;Mit welcher Airline wird geflogen?;Langstrecke Lufthansa ab/bis Frankfurt, feeder auf Anfrage, Bahnfahrt in der 1. Klasse ist inkludiert;
;;;
;Reisenspezifische Fragen:;Reisenspezifische Antworten;
1;Wie fit muss ich für die Robberg Wanderung sein? (Garden Route);händelbar, die Anstregung liegt in den unterschiedlich Höhen der  Stufen;
2;Beste Reisezeit;ganzjährig, Südafrikanischer Winter Juni-August;
3;für Kinder geeignet;ja, ab 12 Jahren (es gibt keine 3-Bett- oder Familienzimmer);
Tansania;;;
Nr.;Frage;Antwort;
1;Was muss ich an Stelle X bei dem Visaantrag ausfüllen?;Verlinkung auf Visaausfüllhilfe in der Reisebestätigung;
2;Benötige ich eine Gelbfieberimpfung?;"Gelbfieber, Nur bei der Einreise aus Gelbfieber-Infektionsgebieten ist eine Gelbfieber-Impfung notwendig. Ein entsprechender Nachweis ist mitzuführen. 
Aktuelle Länder mit Gelbfieber-Infektionsgefahr gemäß WHO: https://www.passolution.de/gelbfieberinfektionsgebiete/. 
Die Impfung wird von allen Reisenden gefordert, die älter sind als 12 Monate. Dies gilt auch bei Transitaufenthalten von über 12 Stunden am Flughafen eines Landes, das Gelbfieber-Infektionsgebiet ist. Es kann jedoch auch nach kürzeren Transitaufenthalten zu Kontrollen kommen.
Chamäleon-Tipp: Bei Nichtimpfung empfehlen wir ein englischsprachiges Attest deines Arztes/ deiner Ärztin mitzuführen, dass bestätigt, dass aus medizinischen Gründen keine Gelbfieberimpfung erfolgen kann.";
3;Benötige ich Malaria Prophylaxe? Fragen zu Impfungen;"Mit der Reisebestätigung erhältst du von uns einen Coupon für ein kostenloses Informationsgespräch zur reisemedizinischen
 Vorsorge in einer der BCRT-Reisepraxen. Standorte: Berlin (Standorte Mitte und Steglitz), Dresden, Düsseldorf, Frankfurt a.M., Hamburg, Köln, München, Stuttgart und Wiesbaden. Sprechzeiten unter www.bcrt.de. Eine telefonische Beratung ist nicht möglich.
Außerhalb dieser Standorte lasse dich dazu bitte ärztlich beraten.";
4;Kann ich mit Euro zahlen? / Fragen zur Währung;"Die offizielle Landeswährung in Tansania ist der Tansania-Schilling (TZS) (1 € = ca. 2.545 TZS, Stand: Dezember 2019). 
In den Unterkünften und meist sogar in den kleinen Geschäften am Wegesrand wird US-$ als gleichwertiges Zahlungsmittel akzeptiert. Wir empfehlen daher die Mitnahme von ausreichend Bargeld in US-$. Bitte beachte, dass die US-$-Geldscheine nach dem Jahr 2006 gedruckt sein müssen, da ältere Geldscheine nicht angenommen werden. Des Weiteren solltest du ausreichend 1-US-$-Scheine mitnehmen, um auch für die die zahlreichen Helfer in den Unterkünften eine kleine Anerkennung parat zu haben. In kleinen Geschäften und beim Kauf von Souvenirs sind teilweise die US-$ Preise etwas höher als die Schilling-Preise. Für diese Gelegenheiten kannst du bei Ankunft am Zielflughafen Euro und US-$ in Landeswährung tauschen oder per EC-Karte (mit »Maestro« Zeichen) oder Kreditkarte Geld abheben. EC-Karten mit V-PAY-Zeichen funktionieren nicht. Kreditkartenzahlung ist nur äußerst selten in den größeren Hotels möglich und ist bei Stromausfall gar nicht möglich. Auch das Abheben von Bargeld ist nur in den großen Städten und am internationalen Flughafen möglich. Die Mitnahme von Reiseschecks ist nicht zu empfehlen, da diese in der Regel selbst in größeren Städten und Hotels nicht eingelöst werden können bzw. nur gegen eine sehr hohe Gebühr. Daher ist die Mitnahme von ausreichend Bargeld sehr wichtig. Für die Reise »Ruaha« empfehlen wir, bei Ankunft am Flughafen etwas Geld für die Getränke in den Unterkünften in Landeswährung zu tauschen. In Südtansania ist es noch nicht üblich in den Unterkünften die Preise in US-$ auszuschreiben. Es kann auch in US-$ gezahlt werden, nur meist zu einem höheren Kurs.";
5;Was kann ich an Gepäck mitnehmen? / Fragen zu Gepäck, Hartschalenkoffer;"Deine Reise wird mit einem 4WD-Geländewagen durchgeführt, daher muss das Gepäck im äußerst kleinen Gepäckbereich
 hinter der letzten Sitzreihe bzw. notfalls im Innenraum verstaut werden. Alternativ, wenn der Stauraum nicht ausreicht, wird dein Gepäck auf dem Autodach transportiert. Dann wird es mit einer Plane abgedeckt, aber dennoch ist es äußeren Einflüssen wie Staub und ggf. Regen ausgesetzt. Deshalb weisen wir dich darauf hin, wenig Gepäck mitzunehmen (1 Gepäckstück p.P.) und dieses in Reisetaschen und nicht in Hartschalenkoffern unterzubringen. Wenn du dich doch dazu entscheidest einen Hartschalenkoffer mitzunehmen, übernehmen wir keine Garantie dafür, dass dieser Koffer befördert wird. Kleidung während der Safari";
6;Das Flugticket fehlt für die Visabeantragung;Ein Flugticket wird für die Visabeantragung nicht benötigt. Bitte lade stattdessen die erste Seite deiner Rechnung mit den Flugdaten hoch.;
7;;;
8;;;
9;;;
10;;;
;Reisenspezifische Fragen:;Reisenspezifische Antworten;
1;Baobab: Wieviel Freigepäck habe ich beim Inlandsflug nach Sansibar?;Die Fluggesellschaft Flightlink, bei der Inlandsflüge der Baobab Reise von Oktober bis Mai gebucht werden erlaubt 20kg aufgegebenes Gepäck + 5kg Handgepäck;
2;;;
3;;;
Uganda;;;
Nr.;Frage;Antwort;
1;Gelbfieber;Impfung ist erforderlich für die Beantragung des Visums;
2;Visum ;Ja, muss beantragt werden. Hinweis auf Ausfüllhilfe. ;
3;Malariaprophilaxe ;"Mit der Reisebestätigung erhältst du von uns einen Coupon für ein kostenloses Informationsgespräch zur reisemedizinischen
 Vorsorge in einer der BCRT-Reisepraxen. Standorte: Berlin (Standorte Mitte und Steglitz), Dresden, Düsseldorf, Frankfurt a.M., Hamburg, Köln, München, Stuttgart und Wiesbaden. Sprechzeiten unter www.bcrt.de. Eine telefonische Beratung ist nicht möglich.
Außerhalb dieser Standorte lasse dich dazu bitte ärztlich beraten.";
4;Wanderungen/ wie lange & Anstrengend ;Die Schwierigkeit der Wanderung ist schwer vorher einzuschätzen / man muss trittfest sein / Wanderungen können von 2-8 Stunden dauern ;
5;Was kann ich an Gepäck mitnehmen? / Fragen zu Gepäck, Hartschalenkoffer;"Deine Reise wird mit einem 4WD-Geländewagen durchgeführt, daher muss das Gepäck im äußerst kleinen Gepäckbereich
 hinter der letzten Sitzreihe bzw. notfalls im Innenraum verstaut werden. Alternativ, wenn der Stauraum nicht ausreicht, wird dein Gepäck auf dem Autodach transportiert. Dann wird es mit einer Plane abgedeckt, aber dennoch ist es äußeren Einflüssen wie Staub und ggf. Regen ausgesetzt. Deshalb weisen wir dich darauf hin, wenig Gepäck mitzunehmen (1 Gepäckstück p.P.) und dieses in Reisetaschen und nicht in Hartschalenkoffern unterzubringen. Wenn du dich doch dazu entscheidest einen Hartschalenkoffer mitzunehmen, übernehmen wir keine Garantie dafür, dass dieser Koffer befördert wird. Kleidung während der Safari";
6;Ist es erlaubt/gewüscht Geschenke für die Projekte vor Ort mitzunehmen?;"Mit deiner Chamäleon-Reise hast du dein Gastgeschenk schon im Gepäck,
denn ein Teil des Reisepreises fließt direkt in die Projekte. Stifte, Süßes und Co. vor Ort zu
verteilen, ist dagegen zwar gut gemeint, aber nicht sinnvoll. Zusammen mit dem Projekt
erfassen wir regelmäßig was benötigt wird und handeln dementsprechend.
Nachhaltig helfen. Wer noch mehr tun möchte, unterstützt das Projekt langfristig am
besten mit einer Spende über die Chamäleon Stiftung. Eine Übersicht unserer Projekte
findest du hier: www.chamaeleon-reisen.de/Nachhaltigkeit. 100 % deiner Spende landen
im Projekt deiner Wahl.";
7;WLAN;Viele Unterkünfte bieten kostenfreies WLAN im Hauptbereich (Rezeption, Restaurant etc.) an.;
8;Weche Möglichkeiten am Tag 12;"Breites Angebot in der Unterkunft buchbar, wir empfehlen einen Besuch bei den Goldmeerkatzen. Begib dich während einer ca. fünf- bis sechsstündigen Wanderung
(englischsprachig) auf die Suche nach den seltenen Goldmeerkatzen. Der Preis
beträgt ca. 90 US-$ pro Person.
• Außerdem bietet deine Unterkunft viele weitere Aktivitäten an. Frage einfach an
der Rezeption";
9;Kleidung;"Fleece-Jacke und/oder warmer Pullover
dünner Regenschutz
Sonnenhut und Badesachen
feste Turnschuhe oder Wanderschuhe
SPEZIELL FÜR DIE GORILLA- BZW. SCHIMPANSENWANDERUNG
Reisepass (bitte zusätzlich zum Original mindestens zwei Pass-Kopien mitführen)
feste Wander- oder Trekkingschuhe
wetterfeste Bekleidung (»Zwiebelprinzip«)
lange Hose aus festem Stoff
kleiner Tagesrucksack
alte Lederhandschuhe oder Gartenhandschuhe (wegen der Dornen)
Mund-Nasenbedeckung";
10;Strom und Adapter ;"Die Stromspannung in Uganda beträgt 240 Volt. Es werden 3-polige Stecker vom Typ G
benötigt. In den meisten Unterkünften sind Euro-Norm Steckdosen oder Adapter
vorhanden.
Eine wachsende Wirtschaft und steigende Bevölkerungszahlen in Uganda führen zu einer
hohen Nachfrage nach Strom, die mit der vorhandenen Kapazität nicht immer gedeckt
werden kann. Das so genannte ""load shedding"" dient dazu, den verfügbaren Strom auf
die Verbrauchenden zu verteilen, indem ein Gebiet abgeschaltet und dafür ein anderes
versorgt wird. Daher kann es in Uganda gelegentlich zu Stromausfällen kommen.
Insbesondere nachts wird oft der Strom abgestellt. In diesem Fall wird meist ein
Generator eingesetzt, der wegen der Lärmbelästigung in der Regel von 22 Uhr bis zum
Morgen nicht in Betrieb ist. Viele Unterkünfte erzeugen auch eigenen Strom durch
Solarenergie. Solltest du nachts auf Strom angewiesen sein (z.B. für ein Schlafapnoe
Gerät) bitten wir dich uns rechtzeitig darauf hinzuweisen.";
;Reisenspezifische Fragen:;Reisenspezifische Antworten;
1;;;
2;;;
3;;;
;;;
;;;
;;;
;;;
;Mauritius;;
;Reisenspezifische Fragen:;Reisenspezifische Antworten:;
1;Darf ich in Mauritius rauchen?;"Das Rauchen im öffentlichen Raum ist verboten; hierzu zählen unter anderem Bars, Restaurants, öffentliche Gebäude, Geschäfte, öffentliche Verkehrsmittel, Bildungseinrichtungen, Kinos, Märkte, Strände, Gärten und Parkanlagen.  In vielen Hotels gibt es ausgewiesene Raucherbereiche im Freien. Gäste sollten sich bei Ankunft im Hotel erkundigen, wo sich diese Bereiche befinden. In einigen Hotels sind Aschenbecher auf den privaten Terrassen oder Balkonen der Zimmer erlaubt, aber das liegt im Ermessen des Hotels. Bei Zuwiderhandlung drohen hohe Geldbußen oder Haftstrafen.";
2;;;
3;;;
